"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"fragmento Beto Borracheiro","Ibiúna","São Paulo",39
NA,"Bairro Sorcabuçu, mais ou menos 8km da estrada SP 250 no km 63","Ibiúna","São Paulo",39
NA,"Bairro Sorcabuçu","Ibiúna","São Paulo",39
NA,"Reserva Biológica Municipal da Serra do Japi","Jundiaí","São Paulo",1173
NA,"IAC","Jundiaí","São Paulo",865
NA,"Estação Experimental","Jundiaí","São Paulo",848
NA,"IAC, Estação Experimental","Jundiaí","São Paulo",708
NA,"próximo à represa do DAE","Jundiaí","São Paulo",269
NA,"estacao experimental do iac","Jundiaí","São Paulo",263
NA,"Sentido bairro Eloy Chaves","Jundiaí","São Paulo",191
NA,"Trilha do Mirante","Jundiaí","São Paulo",143
NA,"trilha Base/Mirante/Base","Jundiaí","São Paulo",116
NA,"Estação Biológica de Juréia","Peruíbe","São Paulo",174
NA,"Km 325 rodovia Pe Manoel da Nóbrega","Itanhaém","São Paulo",164
NA,"Parque Estadual Restinga de Bertioga","Bertioga","São Paulo",149
NA,"Rio Itapanhau","Bertioga","São Paulo",146
NA,"estacao ecologica de jureia","Peruíbe","São Paulo",89
NA,"Guarau, Estação Ecológica de Juréia","Peruíbe","São Paulo",77
NA,"Guarau","Peruíbe","São Paulo",77
NA,"Transecto TR1","Bertioga","São Paulo",47
NA,"Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1","Bertioga","São Paulo",47
NA,"IFSP Campus Cubatão","Cubatão","São Paulo",46
NA,"Trilha Guaratuba no Parque Estadual Restinga de Bertioga","Bertioga","São Paulo",43
NA,"Bertioga","Bertioga","São Paulo",41
NA,"Trilha do SESC","Bertioga","São Paulo",35
NA,"Guarujá","Guarujá","São Paulo",29
NA,"Transecto TR2","Bertioga","São Paulo",22
NA,"Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR2","Bertioga","São Paulo",22
NA,"ilha da queimada pequena","Itanhaém","São Paulo",21
NA,"Barra do Una","Bertioga","São Paulo",21
NA,"Ilha Queimada Grande","Itanhaém","São Paulo",19
NA,"Guarujá - SP, Brasil","Guarujá","São Paulo",18
NA,"ARIE das Ilhas Queimada Pequena e Queimada Grande","Itanhaém","São Paulo",18
NA,"Praia do Itaguaré","Bertioga","São Paulo",16
NA,"Núcleo Picinguaba","Ubatuba","São Paulo",193
NA,"ilha anchieta","Ubatuba","São Paulo",162
NA,"Ubatuba","","São Paulo",110
NA,"Praia Domingas Dias","","São Paulo",66
NA,"sao sebastiao","São Sebastião","São Paulo",65
NA,"Praia Domingas Dias, Ubatuba","","São Paulo",57
