"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Amazonas","Nhamundá","brazil","amazonas","nhamunda","municipality","brazil_NA_nhamunda","brazil_amazonas_nhamunda",-1.680553681,-57.65628741,"county"
"Brazil","Amazonas","Nova Olinda do Norte","brazil","amazonas","nova olinda do norte","municipality","brazil_NA_nova olinda norte","brazil_amazonas_nova olinda norte",-3.988338881,-58.60183903,"county"
"Brazil","Amazonas","Novo Airão","brazil","amazonas","novo airao","municipality","brazil_NA_novo airao","brazil_amazonas_novo airao",-2.047048619,-61.70191653,"county"
"Brazil","Amazonas","Novo Aripuanã","brazil","amazonas","novo aripuana","municipality","brazil_NA_novo aripuana","brazil_amazonas_novo aripuana",-6.825017058,-60.47717494,"county"
"Brazil","Amazonas","Parintins","brazil","amazonas","parintins","municipality","brazil_NA_parintins","brazil_amazonas_parintins",-2.68835772,-56.85395054,"county"
"Brazil","Amazonas","Pauini","brazil","amazonas","pauini","municipality","brazil_NA_pauini","brazil_amazonas_pauini",-7.783080801,-68.24931239,"county"
"Brazil","Amazonas","Presidente Figueiredo","brazil","amazonas","presidente figueiredo","municipality","brazil_NA_presidente figueiredo","brazil_amazonas_presidente figueiredo",-1.372568079,-59.98879265,"county"
"Brazil","Amazonas","Rio Preto da Eva","brazil","amazonas","rio preto da eva","municipality","brazil_NA_rio preto eva","brazil_amazonas_rio preto eva",-2.529910626,-59.63824079,"county"
"Brazil","Amazonas","Santa Isabel do Rio Negro","brazil","amazonas","santa isabel do rio negro","municipality","brazil_NA_santa isabel rio negro","brazil_amazonas_santa isabel rio negro",-0.318572311,-65.52223044,"county"
"Brazil","Amazonas","Santo Antônio do Içá","brazil","amazonas","santo antonio do ica","municipality","brazil_NA_santo antonio ica","brazil_amazonas_santo antonio ica",-3.050662632,-69.08380594,"county"
"Brazil","Amazonas","São Gabriel da Cachoeira","brazil","amazonas","sao gabriel da cachoeira","municipality","brazil_NA_sao gabriel cachoeira","brazil_amazonas_sao gabriel cachoeira",0.375435011,-68.0015387,"county"
