"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DAS NASCENTES","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.291","cnuc_2025_08.csv","ARIE","ARIE_MATA_DAS_NASCENTES"
"ÁREA DE RELEVANTE INTERESSE ECOLOGICO MATA DAS PEROBAS TIM FERREIRA","Brazil","Goiás","GOIANDIRA (GO)","Uso Sustentável","3.818","cnuc_2025_08.csv",NA,"AREA_DE_RELEVANTE_INTERESSE_ECOLOGICO_MATA_DAS_PEROBAS_TIM_FERREIRA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Brazil","São Paulo","CAMPINAS (SP) - PAULÍNIA (SP)","Uso Sustentável","40","cnuc_2025_08.csv","ARIE","ARIE_MATA_DE_SANTA_GENEBRA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DO BARRO","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.282","cnuc_2025_08.csv","ARIE","ARIE_MATA_DO_BARRO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS","Brazil","São Paulo","ARTUR NOGUEIRA (SP) - COSMÓPOLIS (SP)","Uso Sustentável","41","cnuc_2025_08.csv","ARIE","ARIE_MATAO_DE_COSMOPOLIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATAS DO CURADO","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.292","cnuc_2025_08.csv","ARIE","ARIE_MATAS_DO_CURADO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO DA VARGEM","Brazil","Espírito Santo","IBIRAÇU (ES)","Uso Sustentável","1.012","cnuc_2025_08.csv","ARIE","ARIE_MORRO_DA_VARGEM"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO DO BOA VISTA","Brazil","Santa Catarina","JOINVILLE (SC)","Uso Sustentável","2.924","cnuc_2025_08.csv","ARIE","ARIE_MORRO_DO_BOA_VISTA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO DO IRIRIÚ","Brazil","Santa Catarina","JOINVILLE (SC)","Uso Sustentável","2.925","cnuc_2025_08.csv","ARIE","ARIE_MORRO_DO_IRIRIU"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ","Brazil","Rio Grande do Sul","SAPIRANGA (RS)","Uso Sustentável","3.613","cnuc_2025_08.csv","ARIE","ARIE_MORRO_FERRABRAZ"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ - ARARICÁ","Brazil","Rio Grande do Sul","ARARICÁ (RS)","Uso Sustentável","4.785","cnuc_2025_08.csv","ARIE","ARIE_MORRO_FERRABRAZ_-_ARARICA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MUNICIPAL AROEIRAS DO RIACHO","Brazil","Espírito Santo","ARACRUZ (ES)","Uso Sustentável","3.065","cnuc_2025_08.csv","ARIE","ARIE_MUNICIPAL_AROEIRAS_DO_RIACHO"
"ÁREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL","Brazil","Pará","ANANINDEUA (PA)","Uso Sustentável","2.663","cnuc_2025_08.csv",NA,"AREA_DE_RELEVANTE_INTERESSE_ECOLOGICO_MUSEU_PARQUE_SERINGAL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO NASCENTE DO RIO DE CONTAS","Brazil","Bahia","ABAÍRA (BA) - PIATÃ (BA)","Uso Sustentável","298","cnuc_2025_08.csv","ARIE","ARIE_NASCENTE_DO_RIO_DE_CONTAS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ORLA MARÍTIMA","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.339","cnuc_2025_08.csv","ARIE","ARIE_ORLA_MARITIMA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PARANOÁ SUL","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.649","cnuc_2025_08.csv","ARIE","ARIE_PARANOA_SUL"
"ÁREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA","Brazil","Pará","ANANINDEUA (PA)","Uso Sustentável","1.96","cnuc_2025_08.csv",NA,"AREA_DE_RELEVANTE_INTERESSE_ECOLOGICO_PARQUE_AMBIENTAL_ANTONIO_DANUBIO_LOURENCO_DA_SILVA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PARQUE DAS ÁGUAS MARECHAL RONDOM","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável","4.685","cnuc_2025_08.csv","ARIE","ARIE_PARQUE_DAS_AGUAS_MARECHAL_RONDOM"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PARQUE JK","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.642","cnuc_2025_08.csv","ARIE","ARIE_PARQUE_JK"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA","Brazil","São Paulo","TREMEMBÉ (SP)","Uso Sustentável","3.731","cnuc_2025_08.csv","ARIE","ARIE_PEDRA_BRANCA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS","Brazil","Amazonas","MANAUS (AM) - RIO PRETO DA EVA (AM)","Uso Sustentável","43","cnuc_2025_08.csv","ARIE","ARIE_PROJETO_DINAMICA_BIOLOGICA_DE_FRAGMENTOS_FLORESTAIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO RIACHO DA MATINHA","Brazil","Ceará","CRATO (CE)","Uso Sustentável","4.26","cnuc_2025_08.csv","ARIE","ARIE_RIACHO_DA_MATINHA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO RIO JORDÃO","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.283","cnuc_2025_08.csv","ARIE","ARIE_RIO_JORDAO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO RIO VERMELHO","Brazil","Mato Grosso","RONDONÓPOLIS (MT)","Uso Sustentável","4.882","cnuc_2025_08.csv","ARIE","ARIE_RIO_VERMELHO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SANTUÁRIO DE VIDA SILVESTRE DO RIACHO FUNDO","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.645","cnuc_2025_08.csv","ARIE","ARIE_SANTUARIO_DE_VIDA_SILVESTRE_DO_RIACHO_FUNDO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO CONRADO","Brazil","Rio de Janeiro","RIO DE JANEIRO (RJ)","Uso Sustentável","1.826","cnuc_2025_08.csv","ARIE","ARIE_SAO_CONRADO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO DOMINGOS","Brazil","Paraná","RONCADOR (PR)","Uso Sustentável","545","cnuc_2025_08.csv","ARIE","ARIE_SAO_DOMINGOS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO HENRY","Brazil","Rio de Janeiro","CONCEIÇÃO DE MACABU (RJ)","Uso Sustentável","4.671","cnuc_2025_08.csv","ARIE","ARIE_SAO_HENRY"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO MIGUEL","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.284","cnuc_2025_08.csv","ARIE","ARIE_SAO_MIGUEL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO","Brazil","São Paulo","CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)","Uso Sustentável","1.722","cnuc_2025_08.csv","ARIE","ARIE_SAO_SEBASTIAO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERINGAL NOVA ESPERANÇA","Brazil","Acre","EPITACIOLÂNDIA (AC) - XAPURI (AC)","Uso Sustentável","44","cnuc_2025_08.csv","ARIE","ARIE_SERINGAL_NOVA_ESPERANCA"
