"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"PARQUE NATURAL MUNICIPAL VIÇOSA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL VOLTA REDONDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DA VIDA SILVESTRE DO SAGUI DA SERRA ESCURO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DA VIDA SILVESTRE DO SUCAVÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DA VIDA SILVESTRE SERRA DO RIO BONITO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE AMPARO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BARRO BRANCO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BELA VISTA -PARAÍSO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BRAÚNA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BULHÕES",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE CALDEIRÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE CAMPOS DE SERNAMBETIBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE CHAUA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE CÓRREGO PALMITAL",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ESTADUAL DA LAGOA DA TURFEIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ESTADUAL DA SERRA DA ESTRELA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ESTADUAL DO MÉDIO PARAÍBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE FAZENDA SÃO LÁZARO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE FLORESTA DO CAMBOATÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE GARAPA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE INGÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE IPÊ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE LAGOA DO TAÍ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MACACU",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MONTE ALEGRE (ALÍRIO BRAZ)",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MORRO DE MUTUAPIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MUNICIPAL DAS SERRAS DE MARICÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ORICANA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE PALMARES - REFÚGIO DE VIDA SILVESTRE PALMARES",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE PÃO-DE-LÓ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE PARAÍSO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE PREFEITO JORGE ASSIS DE OLIVEIRA (MATA DOS MACACOS)",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE SANTA FÉ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE SERRA DA CACUNDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE SERRA DA PRATA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE SERRA DE SAUDOSO - SÃO JOSÉ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE SERRA DO IMBURI",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE VALE DOS PURIS",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE VENTANIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA ARARAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA BREJO JARDIM E ORQUÍDEAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLOGICA DO DINDI",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL",3,0,0,3,3,3,3,3,0,0
"RESERVA BIOLÓGICA ESTADUAL DE GUARATIBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA PARQUE EQUITATIVA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA POÇO DAS ANTAS",16,2,0,2,10,10,10,6,6,2
"RESERVA BIOLÓGICA TINGUÁ",11,5,0,2,9,9,8,4,2,0
"RESERVA BIOLÓGICA UNIÃO",11,1,0,2,5,5,5,3,2,2
"RESERVA BIOLÓGICA VALE DAS PRINCESAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AVENTUREIRO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA EXTRATIVISTA MARINHA DE ITAIPU",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DE PATRIMÔNIO NATURAL MUNICIPAL MAURO ROMANO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL – RPPN CANTAGALO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BOA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS I",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS II",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS VERTENTES",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGULHAS NEGRAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO DA BOA VISTA - RESGATE VIII",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALVORADA DO ITAVERÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BACCHUS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DE SANTANA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRO VERMELHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELLO E KERIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICHO PREGUIÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA ESPERANÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA VISTA E PHAROL",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIOS DA BOA ESPERANÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIOS DA BOA ESPERANÇA II",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CABECEIRA DO CAFÔFO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRINHA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAIUÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CALDEIRÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPO ESCOTEIRO GERALDO HUGO NUNES",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DA CORUJA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DOS PÁSSAROS",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DOS PÁSSAROS II",0,0,0,0,NA,NA,NA,NA,NA,NA
